p95_latency_step,policy,schedule_seed,seed_id,log_file
64.0,ADVERSARIAL,10,seed_001_long32,out/logs_swinf/seed_001_long32_ADVERSARIAL_inf_10_NONE.log
64.0,ADVERSARIAL,18,seed_001_long32,out/logs_swinf/seed_001_long32_ADVERSARIAL_inf_18_NONE.log
64.0,ADVERSARIAL,53,seed_001_long32,out/logs_swinf/seed_001_long32_ADVERSARIAL_inf_53_NONE.log
62.0,ADVERSARIAL,26,seed_001_long32,out/logs_swinf/seed_001_long32_ADVERSARIAL_inf_26_NONE.log
62.0,ADVERSARIAL,30,seed_001_long32,out/logs_swinf/seed_001_long32_ADVERSARIAL_inf_30_NONE.log
62.0,ADVERSARIAL,59,seed_001_long32,out/logs_swinf/seed_001_long32_ADVERSARIAL_inf_59_NONE.log
62.0,ADVERSARIAL,76,seed_001_long32,out/logs_swinf/seed_001_long32_ADVERSARIAL_inf_76_NONE.log
62.0,ADVERSARIAL,98,seed_001_long32,out/logs_swinf/seed_001_long32_ADVERSARIAL_inf_98_NONE.log
60.0,ADVERSARIAL,11,seed_001_long32,out/logs_swinf/seed_001_long32_ADVERSARIAL_inf_11_NONE.log
60.0,ADVERSARIAL,29,seed_001_long32,out/logs_swinf/seed_001_long32_ADVERSARIAL_inf_29_NONE.log
60.0,ADVERSARIAL,58,seed_001_long32,out/logs_swinf/seed_001_long32_ADVERSARIAL_inf_58_NONE.log
55.0,ADVERSARIAL,43,seed_001_long32,out/logs_swinf/seed_001_long32_ADVERSARIAL_inf_43_NONE.log
55.0,ADVERSARIAL,50,seed_001_long32,out/logs_swinf/seed_001_long32_ADVERSARIAL_inf_50_NONE.log
55.0,ADVERSARIAL,62,seed_001_long32,out/logs_swinf/seed_001_long32_ADVERSARIAL_inf_62_NONE.log
53.0,ADVERSARIAL,3,seed_001_long32,out/logs_swinf/seed_001_long32_ADVERSARIAL_inf_3_NONE.log
53.0,ADVERSARIAL,61,seed_001_long32,out/logs_swinf/seed_001_long32_ADVERSARIAL_inf_61_NONE.log
52.0,RANDOM,11,seed_001_long32,out/logs_swinf/seed_001_long32_RANDOM_inf_11_NONE.log
51.0,ADVERSARIAL,49,seed_001_long32,out/logs_swinf/seed_001_long32_ADVERSARIAL_inf_49_NONE.log
51.0,ADVERSARIAL,84,seed_001_long32,out/logs_swinf/seed_001_long32_ADVERSARIAL_inf_84_NONE.log
49.0,RANDOM,58,seed_001_long32,out/logs_swinf/seed_001_long32_RANDOM_inf_58_NONE.log
46.0,ADVERSARIAL,96,seed_001_long32,out/logs_swinf/seed_001_long32_ADVERSARIAL_inf_96_NONE.log
44.0,ADVERSARIAL,14,seed_001_long32,out/logs_swinf/seed_001_long32_ADVERSARIAL_inf_14_NONE.log
44.0,ADVERSARIAL,24,seed_001_long32,out/logs_swinf/seed_001_long32_ADVERSARIAL_inf_24_NONE.log
44.0,ADVERSARIAL,37,seed_001_long32,out/logs_swinf/seed_001_long32_ADVERSARIAL_inf_37_NONE.log
44.0,RANDOM,59,seed_001_long32,out/logs_swinf/seed_001_long32_RANDOM_inf_59_NONE.log
42.0,ADVERSARIAL,55,seed_001_long32,out/logs_swinf/seed_001_long32_ADVERSARIAL_inf_55_NONE.log
42.0,ADVERSARIAL,77,seed_001_long32,out/logs_swinf/seed_001_long32_ADVERSARIAL_inf_77_NONE.log
40.0,RANDOM,29,seed_001_long32,out/logs_swinf/seed_001_long32_RANDOM_inf_29_NONE.log
39.0,ADVERSARIAL,27,seed_001_long32,out/logs_swinf/seed_001_long32_ADVERSARIAL_inf_27_NONE.log
37.0,ADVERSARIAL,40,seed_001_long32,out/logs_swinf/seed_001_long32_ADVERSARIAL_inf_40_NONE.log
37.0,ADVERSARIAL,71,seed_001_long32,out/logs_swinf/seed_001_long32_ADVERSARIAL_inf_71_NONE.log
37.0,ADVERSARIAL,79,seed_001_long32,out/logs_swinf/seed_001_long32_ADVERSARIAL_inf_79_NONE.log
37.0,ADVERSARIAL,81,seed_001_long32,out/logs_swinf/seed_001_long32_ADVERSARIAL_inf_81_NONE.log
37.0,ADVERSARIAL,99,seed_001_long32,out/logs_swinf/seed_001_long32_ADVERSARIAL_inf_99_NONE.log
37.0,RANDOM,53,seed_001_long32,out/logs_swinf/seed_001_long32_RANDOM_inf_53_NONE.log
37.0,RANDOM,55,seed_001_long32,out/logs_swinf/seed_001_long32_RANDOM_inf_55_NONE.log
36.0,RANDOM,98,seed_001_long32,out/logs_swinf/seed_001_long32_RANDOM_inf_98_NONE.log
35.0,ADVERSARIAL,44,seed_001_long32,out/logs_swinf/seed_001_long32_ADVERSARIAL_inf_44_NONE.log
35.0,ADVERSARIAL,97,seed_001_long32,out/logs_swinf/seed_001_long32_ADVERSARIAL_inf_97_NONE.log
34.0,RANDOM,62,seed_001_long32,out/logs_swinf/seed_001_long32_RANDOM_inf_62_NONE.log
33.0,ADVERSARIAL,31,seed_001_long32,out/logs_swinf/seed_001_long32_ADVERSARIAL_inf_31_NONE.log
33.0,ADVERSARIAL,48,seed_001_long32,out/logs_swinf/seed_001_long32_ADVERSARIAL_inf_48_NONE.log
33.0,ADVERSARIAL,68,seed_001_long32,out/logs_swinf/seed_001_long32_ADVERSARIAL_inf_68_NONE.log
33.0,ADVERSARIAL,70,seed_001_long32,out/logs_swinf/seed_001_long32_ADVERSARIAL_inf_70_NONE.log
33.0,ADVERSARIAL,94,seed_001_long32,out/logs_swinf/seed_001_long32_ADVERSARIAL_inf_94_NONE.log
33.0,FIFO,53,seed_001_long32,out/logs_swinf/seed_001_long32_FIFO_inf_53_NONE.log
33.0,RANDOM,31,seed_001_long32,out/logs_swinf/seed_001_long32_RANDOM_inf_31_NONE.log
32.0,ADVERSARIAL,22,seed_001_long32,out/logs_swinf/seed_001_long32_ADVERSARIAL_inf_22_NONE.log
32.0,RANDOM,18,seed_001_long32,out/logs_swinf/seed_001_long32_RANDOM_inf_18_NONE.log
32.0,RANDOM,50,seed_001_long32,out/logs_swinf/seed_001_long32_RANDOM_inf_50_NONE.log
