schedule_seed,tail_slack_step,tail_exceed,log_file
53,31.000000,1,out/rdss_sw4/round_00/seed_001_long32_ADVERSARIAL_2_53_TIMEOUT.log
18,17.000000,1,out/rdss_sw4/round_00/seed_001_long32_ADVERSARIAL_2_18_NONE.log
62,17.000000,1,out/rdss_sw4/round_00/seed_001_long32_ADVERSARIAL_2_62_NONE.log
27,15.000000,1,out/rdss_sw4/round_00/seed_001_long32_ADVERSARIAL_2_27_NONE.log
76,14.000000,1,out/rdss_sw4/round_02/seed_001_long32_ADVERSARIAL_1_76_TIMEOUT.log
49,12.000000,1,out/rdss_sw4/round_00/seed_001_long32_ADVERSARIAL_2_49_NONE.log
41,12.000000,1,out/rdss_sw4/round_01/seed_001_long32_ADVERSARIAL_2_41_NONE.log
60,10.000000,1,out/rdss_sw4/round_00/seed_001_long32_ADVERSARIAL_1_60_NONE.log
61,10.000000,1,out/rdss_sw4/round_00/seed_001_long32_ADVERSARIAL_2_61_TIMEOUT.log
77,10.000000,1,out/rdss_sw4/round_00/seed_001_long32_RANDOM_3_77_RESET.log
82,10.000000,1,out/rdss_sw4/round_00/seed_001_long32_ADVERSARIAL_1_82_NONE.log
11,10.000000,1,out/rdss_sw4/round_02/seed_001_long32_ADVERSARIAL_2_11_NONE.log
79,9.000000,1,out/rdss_sw4/round_00/seed_001_long32_ADVERSARIAL_1_79_TIMEOUT.log
97,9.000000,1,out/rdss_sw4/round_00/seed_001_long32_RANDOM_1_97_RESET.log
56,9.000000,1,out/rdss_sw4/round_02/seed_001_long32_ADVERSARIAL_2_56_TIMEOUT.log
39,8.000000,1,out/rdss_sw4/round_00/seed_001_long32_ADVERSARIAL_2_39_RESET.log
24,8.000000,1,out/rdss_sw4/round_01/seed_001_long32_ADVERSARIAL_1_24_TIMEOUT.log
8,8.000000,1,out/rdss_sw4/round_01/seed_001_long32_ADVERSARIAL_2_8_NONE.log
85,7.000000,1,out/rdss_sw4/round_00/seed_001_long32_ADVERSARIAL_1_85_NONE.log
36,6.000000,1,out/rdss_sw4/round_00/seed_001_long32_RANDOM_1_36_NONE.log
9,6.000000,1,out/rdss_sw4/round_00/seed_001_long32_ADVERSARIAL_2_9_NONE.log
40,6.000000,1,out/rdss_sw4/round_02/seed_001_long32_RANDOM_2_40_RESET.log
12,5.000000,1,out/rdss_sw4/round_00/seed_001_long32_RANDOM_1_12_NONE.log
33,5.000000,1,out/rdss_sw4/round_00/seed_001_long32_ADVERSARIAL_1_33_NONE.log
45,5.000000,1,out/rdss_sw4/round_00/seed_001_long32_RANDOM_1_45_NONE.log
65,5.000000,1,out/rdss_sw4/round_00/seed_001_long32_ADVERSARIAL_0_65_RESET.log
68,5.000000,1,out/rdss_sw4/round_00/seed_001_long32_ADVERSARIAL_1_68_NONE.log
31,5.000000,1,out/rdss_sw4/round_01/seed_001_long32_ADVERSARIAL_0_31_NONE.log
90,5.000000,1,out/rdss_sw4/round_01/seed_001_long32_ADVERSARIAL_0_90_RESET.log
93,5.000000,1,out/rdss_sw4/round_01/seed_001_long32_ADVERSARIAL_2_93_NONE.log
17,4.000000,1,out/rdss_sw4/round_00/seed_001_long32_ADVERSARIAL_0_17_NONE.log
38,4.000000,1,out/rdss_sw4/round_00/seed_001_long32_RANDOM_0_38_NONE.log
42,4.000000,1,out/rdss_sw4/round_00/seed_001_long32_ADVERSARIAL_0_42_NONE.log
51,4.000000,1,out/rdss_sw4/round_00/seed_001_long32_RANDOM_1_51_NONE.log
64,4.000000,1,out/rdss_sw4/round_00/seed_001_long32_ADVERSARIAL_0_64_NONE.log
71,4.000000,1,out/rdss_sw4/round_00/seed_001_long32_ADVERSARIAL_0_71_NONE.log
74,4.000000,1,out/rdss_sw4/round_00/seed_001_long32_ADVERSARIAL_0_74_NONE.log
75,4.000000,1,out/rdss_sw4/round_00/seed_001_long32_ADVERSARIAL_0_75_RESET.log
5,2.000000,1,out/rdss_sw4/round_00/seed_001_long32_RANDOM_0_5_NONE.log
32,1.000000,1,out/rdss_sw4/round_00/seed_001_long32_ADVERSARIAL_0_32_NONE.log
