schedule_seed,tail_slack_step,tail_exceed,log_file
53,31.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_2_53_TIMEOUT.log
98,29.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_2_98_TIMEOUT.log
30,24.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_2_30_RESET.log
72,19.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_2_72_RESET.log
18,17.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_2_18_NONE.log
62,17.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_2_62_NONE.log
27,15.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_2_27_NONE.log
6,14.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_1_6_TIMEOUT.log
76,14.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_1_76_TIMEOUT.log
41,12.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_2_41_NONE.log
43,12.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_1_43_NONE.log
49,12.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_2_49_NONE.log
57,12.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_2_57_NONE.log
84,12.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_1_84_TIMEOUT.log
0,10.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_1_0_TIMEOUT.log
10,10.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_2_10_NONE.log
22,10.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_2_22_TIMEOUT.log
29,10.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_2_29_NONE.log
37,10.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_2_37_NONE.log
46,10.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_2_46_NONE.log
4,10.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_1_4_RESET.log
52,10.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_2_52_NONE.log
55,10.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_1_55_NONE.log
60,10.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_1_60_NONE.log
61,10.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_2_61_TIMEOUT.log
77,10.000000,1,out/uniform_sw4/round_00/seed_001_long32_RANDOM_3_77_RESET.log
82,10.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_1_82_NONE.log
89,10.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_1_89_RESET.log
56,9.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_2_56_TIMEOUT.log
79,9.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_1_79_TIMEOUT.log
97,9.000000,1,out/uniform_sw4/round_00/seed_001_long32_RANDOM_1_97_RESET.log
14,8.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_2_14_NONE.log
24,8.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_1_24_TIMEOUT.log
39,8.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_2_39_RESET.log
50,8.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_2_50_NONE.log
70,8.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_2_70_NONE.log
87,8.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_1_87_TIMEOUT.log
92,8.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_2_92_NONE.log
96,8.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_2_96_NONE.log
99,8.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_2_99_NONE.log
44,7.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_2_44_NONE.log
59,7.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_2_59_TIMEOUT.log
85,7.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_1_85_NONE.log
21,6.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_2_21_NONE.log
35,6.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_2_35_NONE.log
36,6.000000,1,out/uniform_sw4/round_00/seed_001_long32_RANDOM_1_36_NONE.log
40,6.000000,1,out/uniform_sw4/round_00/seed_001_long32_RANDOM_2_40_RESET.log
58,6.000000,1,out/uniform_sw4/round_00/seed_001_long32_RANDOM_2_58_NONE.log
9,6.000000,1,out/uniform_sw4/round_00/seed_001_long32_ADVERSARIAL_2_9_NONE.log
12,5.000000,1,out/uniform_sw4/round_00/seed_001_long32_RANDOM_1_12_NONE.log
